iter	Passed	Remaining
841	2631	493
842	2634	490
843	2636	487
844	2640	484
845	2643	481
846	2649	478
847	2651	475
848	2655	472
849	2658	469
850	2660	465
851	2665	462
852	2667	459
853	2670	456
854	2673	453
855	2675	450
856	2680	447
857	2683	444
858	2687	441
859	2689	437
860	2691	434
861	2698	431
862	2700	428
863	2702	425
864	2708	422
865	2713	419
866	2715	416
867	2719	413
868	2721	410
869	2723	406
870	2725	403
871	2729	400
872	2731	397
873	2734	394
874	2738	391
875	2740	387
876	2745	385
877	2748	381
878	2751	378
879	2753	375
880	2755	372
881	2759	369
882	2761	365
883	2763	362
884	2766	359
885	2768	356
886	2770	352
887	2772	349
888	2777	346
889	2779	343
890	2781	340
891	2783	337
892	2785	333
893	2787	330
894	2790	327
895	2792	324
896	2797	321
897	2800	318
898	2801	314
899	2804	311
900	2807	308
901	2809	305
902	2812	302
903	2815	298
904	2817	295
905	2819	292
906	2821	289
907	2825	286
908	2827	283
909	2829	279
910	2832	276
911	2835	273
912	2838	270
913	2841	267
914	2844	264
915	2847	261
916	2848	257
917	2851	254
918	2853	251
919	2857	248
920	2859	245
921	2862	242
922	2865	239
923	2867	235
924	2873	232
925	2875	229
926	2877	226
927	2880	223
928	2882	220
929	2884	217
930	2888	214
931	2890	210
932	2892	207
933	2895	204
934	2897	201
935	2900	198
936	2906	195
937	2908	192
938	2911	189
939	2913	185
940	2915	182
941	2918	179
942	2921	176
943	2924	173
944	2927	170
945	2929	167
946	2931	164
947	2936	161
948	2938	157
949	2941	154
950	2943	151
951	2945	148
952	2948	145
953	2952	142
954	2954	139
955	2957	136
956	2960	133
957	2963	129
958	2968	126
959	2971	123
960	2974	120
961	2976	117
962	2978	114
963	2981	111
964	2986	108
965	2990	105
966	2992	102
967	2994	98
968	2996	95
969	3003	92
970	3007	89
971	3009	86
972	3011	83
973	3017	80
974	3019	77
975	3022	74
976	3026	71
977	3028	68
978	3034	65
979	3036	61
980	3039	58
981	3041	55
982	3044	52
983	3049	49
984	3052	46
985	3056	43
986	3057	40
987	3059	37
988	3062	34
989	3068	30
990	3070	27
991	3073	24
992	3075	21
993	3077	18
994	3081	15
995	3084	12
996	3088	9
997	3090	6
998	3092	3
999	3094	0
